frameNumber,"TDEP, 0.1 in","CVEL, m/h","TENS, lbf","CS, m/h"
49,1165030.0,-580.6438598632812,3577.0,580.6438598632812
50,1165020.0,-578.4306030273438,3653.5,578.4306030273438
51,1165010.0,-576.072021484375,3667.0,576.072021484375
52,1165000.0,-580.7891845703125,3648.0,580.7891845703125
53,1164990.0,-580.64404296875,3647.0,580.64404296875
54,1164980.0,-576.1439208984375,3678.0,576.1439208984375
55,1164970.0,-576.072021484375,3678.0,576.072021484375
56,1164960.0,-576.14404296875,3650.499755859375,576.14404296875
57,1164950.0,-580.6438598632812,3656.0,580.6438598632812
58,1164940.0,-580.64404296875,3690.0,580.64404296875
59,1164930.0,-578.4306640625,3699.000244140625,578.4306640625
60,1164920.0,-576.072021484375,3697.000244140625,576.072021484375
