frameNumber,"TDEP, 0.1 in","EHGR_EDTC, gAPI","HGR_EDTC, gAPI"
1,1159100.0,95.59186553955078,60.86358642578125
2,1159080.0,86.1675033569336,54.86307144165039
3,1159060.0,84.76274871826172,53.96866226196289
4,1159040.0,87.05027770996094,55.42513656616211
5,1159020.0,92.00631713867188,58.580657958984375
6,1159000.0,90.97652435302734,57.92498779296875
7,1158980.0,88.48947143554688,56.34147644042969
8,1158960.0,86.26669311523438,54.92622375488281
9,1158940.0,86.09644317626953,54.81782531738281
10,1158920.0,89.00961303710938,56.67264938354492
11,1158900.0,91.4240951538086,58.209957122802734
12,1158880.0,94.56466674804688,60.20956802368164
13,1158860.0,96.52481079101562,61.45759582519531
14,1158840.0,101.98609161376953,64.93480682373047
15,1158820.0,100.3306884765625,63.88080978393555
16,1158800.0,95.6279296875,60.88655090332031
17,1158780.0,85.54647827148438,54.4676628112793
18,1158760.0,88.6783218383789,56.46171569824219
19,1158740.0,92.76129150390625,59.06135177612305
20,1158720.0,96.43946838378906,61.40325927734375
21,1158700.0,99.15831756591797,63.13435745239258
22,1158680.0,109.4080581665039,69.66039276123047
23,1158660.0,119.21873474121094,75.90687561035156
24,1158640.0,121.77940368652344,77.53726196289062
25,1158620.0,118.40734100341797,75.3902587890625
26,1158600.0,111.55841827392578,71.02953338623047
27,1158580.0,97.37478637695312,61.998775482177734
28,1158560.0,86.67256164550781,55.18464279174805
29,1158540.0,89.50511932373047,56.98814010620117
30,1158520.0,97.23931121826172,61.91251754760742
31,1158500.0,98.3560791015625,62.62356948852539
32,1158480.0,94.24461364746094,60.00578689575195
33,1158460.0,98.0140609741211,62.40580368041992
34,1158440.0,102.74201965332031,65.41610717773438
35,1158420.0,105.5174331665039,67.18321990966797
36,1158400.0,96.41459655761719,61.387420654296875
37,1158380.0,86.76087188720703,55.24087142944336
38,1158360.0,83.37488555908203,53.08500289916992
39,1158340.0,92.61767578125,58.969913482666016
40,1158320.0,104.89815521240234,66.78892517089844
41,1158300.0,100.54979705810547,64.02031707763672
42,1158280.0,87.8884506225586,55.95880126953125
43,1158260.0,77.7148208618164,49.48122787475586
44,1158240.0,82.42839813232422,52.48237228393555
45,1158220.0,89.90693664550781,57.24397659301758
46,1158200.0,96.04591369628906,61.152679443359375
47,1158180.0,99.61029052734375,63.4221305847168
48,1158160.0,102.82787322998047,65.47077178955078
49,1158140.0,102.4272689819336,65.21570587158203
50,1158120.0,106.59021759033203,67.86626434326172
51,1158100.0,111.26184844970703,70.84070587158203
52,1158080.0,119.33857727050781,75.9831771850586
53,1158060.0,114.7817611694336,73.08184051513672
54,1158040.0,108.53279876708984,69.10311126708984
55,1158020.0,101.63351440429688,64.71031951904297
56,1158000.0,104.20919036865234,66.35025787353516
57,1157980.0,109.04315948486328,69.42806243896484
58,1157960.0,112.079345703125,71.3612060546875
59,1157940.0,108.25579071044922,68.92674255371094
60,1157920.0,103.59272766113281,65.95775604248047
61,1157900.0,102.55762481689453,65.2987060546875
62,1157880.0,96.17302703857422,61.23361587524414
63,1157860.0,90.93833923339844,57.90067672729492
64,1157840.0,84.8829116821289,54.045169830322266
65,1157820.0,86.04637908935547,54.78594970703125
66,1157800.0,86.3013687133789,54.94830322265625
67,1157780.0,86.57495880126953,55.12249755859375
68,1157760.0,96.8802490234375,61.683902740478516
69,1157740.0,103.09777069091797,65.64261627197266
70,1157720.0,95.908203125,61.064998626708984
71,1157700.0,77.10315704345703,49.09177780151367
72,1157680.0,60.54143142700195,38.5468864440918
73,1157660.0,56.21748733520508,35.793819427490234
74,1157640.0,49.774112701416016,31.69130516052246
75,1157620.0,41.11965560913086,26.18099021911621
76,1157600.0,30.533655166625977,19.44085693359375
77,1157580.0,24.68950080871582,15.719868659973145
78,1157560.0,22.38744354248047,14.254142761230469
79,1157540.0,21.488143920898438,13.681556701660156
80,1157520.0,22.699857711791992,14.453057289123535
81,1157500.0,24.8106632232666,15.797013282775879
82,1157480.0,28.428998947143555,18.10081672668457
83,1157460.0,32.34042739868164,20.59123420715332
84,1157440.0,43.20957565307617,27.511648178100586
85,1157420.0,57.727943420410156,36.755531311035156
86,1157400.0,85.26803588867188,54.29037857055664
87,1157380.0,122.78939056396484,78.1803207397461
88,1157360.0,168.1781463623047,107.07946014404297
89,1157340.0,220.32569885253906,140.2819366455078
90,1157320.0,263.96160888671875,168.06503295898438
91,1157300.0,307.48193359375,195.7745361328125
92,1157280.0,350.30828857421875,223.0421905517578
93,1157260.0,404.9437255859375,257.8287048339844
94,1157240.0,467.6934814453125,297.7816467285156
95,1157220.0,549.1047973632812,349.6164245605469
96,1157200.0,676.7559204101562,430.8922424316406
97,1157180.0,868.3369750976562,552.8723754882812
98,1157160.0,1099.9075927734375,700.31396484375
99,1157140.0,1315.9429931640625,837.8643188476562
100,1157120.0,1478.29345703125,941.2332153320312
101,1157100.0,1579.1324462890625,1005.4376831054688
102,1157080.0,2628.699462890625,1673.69970703125
103,1157060.0,3869.546630859375,2463.750244140625
104,1157040.0,5073.98291015625,3230.617919921875
105,1157020.0,5260.39990234375,3349.310302734375
106,1157000.0,5136.93310546875,3270.698486328125
107,1156980.0,4978.0556640625,3169.541015625
108,1156960.0,4826.8388671875,3073.2607421875
109,1156940.0,4799.5576171875,3055.890625
110,1156920.0,4869.48046875,3100.410888671875
111,1156900.0,5003.4462890625,3185.707275390625
112,1156880.0,5147.30126953125,3277.300048828125
113,1156860.0,5295.18212890625,3371.4560546875
114,1156840.0,5437.44189453125,3462.033203125
115,1156820.0,5581.69970703125,3553.882568359375
116,1156800.0,5770.70166015625,3674.220703125
117,1156780.0,6000.10205078125,3820.280517578125
118,1156760.0,6241.8369140625,3974.193603515625
119,1156740.0,6419.48095703125,4087.300048828125
120,1156720.0,6461.01318359375,4113.74365234375
121,1156700.0,6474.0810546875,4122.06396484375
