frameNumber,"TIME, ms","TDEP, 0.1 in","TENS_SL, lbf","DEPT_SL, 0.1 in"
1,18849462.0,776766.0,2118.0,776766.0
2,18850462.0,776766.0,2119.0,776766.0
3,18851462.0,776766.0,2092.0,776766.0
4,18852462.0,776766.0,2080.0,776766.0
5,18853462.0,776766.0,2105.0,776766.0
6,18854462.0,776766.0,2121.0,776766.0
7,18855462.0,776766.0,2130.0,776766.0
8,18856462.0,776766.0,2109.0,776766.0
9,18857462.0,776766.0,2112.0,776766.0
10,18858462.0,776766.0,2088.0,776766.0
11,18859462.0,776766.0,2058.0,776766.0
12,18860462.0,776766.0,2039.0,776766.0
13,18861462.0,776766.0,2073.0,776766.0
14,18862462.0,776766.0,2091.0,776766.0
15,18863462.0,776766.0,2101.0,776766.0
16,18864462.0,776766.0,2095.0,776766.0
17,18865462.0,776766.0,2071.0,776766.0
18,18866462.0,776766.0,2033.0,776766.0
19,18867462.0,776766.0,2017.0,776766.0
20,18868462.0,776766.0,2022.0,776766.0
21,18869462.0,776766.0,2045.0,776766.0
22,18870462.0,776766.0,2088.0,776766.0
23,18871462.0,776766.0,2133.0,776766.0
24,18872462.0,776766.0,2122.0,776766.0
25,18873462.0,776766.0,2110.0,776766.0
26,18874462.0,776766.0,2094.0,776766.0
27,18875462.0,776766.0,2058.0,776766.0
28,18876462.0,776766.0,2026.0,776766.0
29,18877462.0,776766.0,2022.0,776766.0
30,18878462.0,776766.0,2050.0,776766.0
31,18879462.0,776766.0,2043.0,776766.0
32,18880462.0,776766.0,2064.0,776766.0
33,18881462.0,776766.0,2098.0,776766.0
34,18882462.0,776766.0,2110.0,776766.0
35,18883462.0,776766.0,2119.0,776766.0
36,18884462.0,776766.0,2105.0,776766.0
37,18885462.0,776766.0,2086.0,776766.0
38,18886462.0,776766.0,2066.0,776766.0
39,18887462.0,776766.0,2046.0,776766.0
40,18888462.0,776766.0,2041.0,776766.0
41,18889462.0,776766.0,2056.0,776766.0
42,18890462.0,776766.0,2044.0,776766.0
43,18891462.0,776766.0,2039.0,776766.0
44,18892462.0,776766.0,2045.0,776766.0
45,18893462.0,776766.0,2071.0,776766.0
46,18894462.0,776766.0,2081.0,776766.0
47,18895462.0,776766.0,2097.0,776766.0
48,18896462.0,776766.0,2095.0,776766.0
49,18897462.0,776766.0,2073.0,776766.0
50,18898462.0,776766.0,2046.0,776766.0
51,18899462.0,776766.0,2026.0,776766.0
52,18900462.0,776766.0,2021.0,776766.0
53,18901462.0,776766.0,2034.0,776766.0
54,18902462.0,776766.0,2082.0,776766.0
55,18903462.0,776766.0,2106.0,776766.0
56,18904462.0,776766.0,2099.0,776766.0
57,18905462.0,776766.0,2091.0,776766.0
58,18906462.0,776766.0,2078.0,776766.0
59,18907462.0,776766.0,2053.0,776766.0
60,18908462.0,776766.0,2030.0,776766.0
61,18909462.0,776766.0,2054.0,776766.0
62,18910462.0,776766.0,2059.0,776766.0
63,18911462.0,776766.0,2072.0,776766.0
64,18912462.0,776766.0,2094.0,776766.0
65,18913462.0,776766.0,2087.0,776766.0
66,18914462.0,776766.0,2085.0,776766.0
67,18915462.0,776766.0,2077.0,776766.0
68,18916462.0,776766.0,2050.0,776766.0
69,18917462.0,776766.0,2081.0,776766.0
70,18918462.0,776766.0,2079.0,776766.0
71,18919462.0,776766.0,2075.0,776766.0
72,18920462.0,776766.0,2069.0,776766.0
73,18921462.0,776766.0,2080.0,776766.0
74,18922462.0,776766.0,2046.0,776766.0
75,18923462.0,776766.0,2051.0,776766.0
76,18924462.0,776766.0,2064.0,776766.0
77,18925462.0,776766.0,2079.0,776766.0
78,18926462.0,776766.0,2066.0,776766.0
79,18927462.0,776766.0,2090.0,776766.0
80,18928462.0,776766.0,2073.0,776766.0
81,18929462.0,776766.0,2039.0,776766.0
82,18930462.0,776766.0,2025.0,776766.0
83,18931462.0,776766.0,2050.0,776766.0
84,18932462.0,776766.0,2051.0,776766.0
85,18933462.0,776766.0,2071.0,776766.0
86,18934462.0,776766.0,2078.0,776766.0
87,18935462.0,776766.0,2074.0,776766.0
88,18936462.0,776766.0,2045.0,776766.0
89,18937462.0,776766.0,2061.0,776766.0
90,18938462.0,776766.0,2050.0,776766.0
91,18939462.0,776766.0,2062.0,776766.0
92,18940462.0,776766.0,2070.0,776766.0
93,18941462.0,776766.0,2069.0,776766.0
94,18942462.0,776766.0,2071.0,776766.0
95,18943462.0,776766.0,2080.0,776766.0
96,18944462.0,776766.0,2061.0,776766.0
97,18945462.0,776766.0,2063.0,776766.0
98,18946462.0,776766.0,2056.0,776766.0
99,18947462.0,776766.0,2064.0,776766.0
100,18948462.0,776766.0,2079.0,776766.0
101,18949462.0,776766.0,2080.0,776766.0
102,18950462.0,776766.0,2090.0,776766.0
103,18951462.0,776766.0,2074.0,776766.0
104,18952462.0,776766.0,2056.0,776766.0
105,18953462.0,776766.0,2070.0,776766.0
106,18954462.0,776766.0,2053.0,776766.0
107,18955462.0,776766.0,2054.0,776766.0
108,18956462.0,776766.0,2069.0,776766.0
109,18957462.0,776766.0,2080.0,776766.0
110,18958462.0,776766.0,2062.0,776766.0
111,18959462.0,776766.0,2074.0,776766.0
112,18960462.0,776766.0,2055.0,776766.0
113,18961462.0,776766.0,2035.0,776766.0
114,18962462.0,776766.0,2022.0,776766.0
115,18963462.0,776766.0,2033.0,776766.0
116,18964462.0,776766.0,2033.0,776766.0
117,18965462.0,776766.0,2050.0,776766.0
118,18966462.0,776766.0,2082.0,776766.0
119,18967462.0,776766.0,2094.0,776766.0
120,18968462.0,776766.0,2079.0,776766.0
121,18969462.0,776766.0,2037.0,776766.0
122,18970462.0,776766.0,2041.0,776766.0
123,18971462.0,776766.0,2030.0,776766.0
124,18972462.0,776766.0,2034.0,776766.0
125,18973462.0,776766.0,2039.0,776766.0
126,18974462.0,776766.0,2030.0,776766.0
127,18975462.0,776766.0,2026.0,776766.0
128,18976462.0,776766.0,2035.0,776766.0
129,18977462.0,776766.0,2036.0,776766.0
130,18978462.0,776766.0,2054.0,776766.0
131,18979462.0,776766.0,2078.0,776766.0
132,18980462.0,776766.0,2070.0,776766.0
133,18981462.0,776766.0,2078.0,776766.0
134,18982462.0,776766.0,2073.0,776766.0
135,18983462.0,776766.0,2047.0,776766.0
136,18984462.0,776766.0,2016.0,776766.0
137,18985462.0,776766.0,2035.0,776766.0
138,18986462.0,776766.0,2019.0,776766.0
139,18987462.0,776766.0,2028.0,776766.0
140,18988462.0,776766.0,2077.0,776766.0
141,18989462.0,776766.0,2088.0,776766.0
142,18990462.0,776766.0,2092.0,776766.0
143,18991462.0,776766.0,2081.0,776766.0
144,18992462.0,776766.0,2074.0,776766.0
145,18993462.0,776766.0,2046.0,776766.0
146,18994462.0,776766.0,2021.0,776766.0
147,18995462.0,776766.0,2021.0,776766.0
