frameNumber,"TIME, ms","TDEP, 0.1 in","ETIM, s","LMVL, V","UMVL, V","CFLA,  ","OCD, ft","RCMD, V","RCPP, in","CMRT, h","RCNU,  ","DCFL,  ","DFS,  ","DZER,  ","RHMD, V","HMRT, h","RHV, V","RLSW,  ","MNU,  ","S1CY,  ","S2CY,  ","RSCU,  ","RSTS,  ","UCFL,  ","CARC, mA","CMDV, V","CMPP, in","CNU,  ","HMDV, V","HV, V","LSWI,  ","SCUR,  ","SSTA,  ","RCMP, psi","RHPP, psi","RRPP, psi","CMPR, psi","HPPR, psi","RPPV, psi","SMSC,  ","CMCU, mA","HMCU, mA","CMLP, in"
1,18849462.0,776766.0,0.0,585.0,635.0,18.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,24.0,0.0,128.0,209.875,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,38.619346618652344,134.31312561035156,14.695899963378906,38.619346618652344,134.31312561035156,192,49.0,11.375,-0.8932403326034546
2,18849862.0,776766.0,0.4000000059604645,585.0,635.0,18.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,24.0,0.0,128.0,209.875,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,38.619346618652344,134.31312561035156,14.695899963378906,38.619346618652344,134.31312561035156,192,49.0,11.375,-0.8932403326034546
3,18850262.0,776766.0,0.800000011920929,585.0,635.0,18.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,26.0,0.0,128.0,209.5625,0.0,0.024303851649165154,22.0,0.0,150.87379455566406,0.0,26.0,0.0,14.695899963378906,14.695899963378906,133.7435302734375,14.695899963378906,14.695899963378906,133.7435302734375,192,48.5,11.25,-0.8957080841064453
4,18850662.0,776766.0,1.2000000476837158,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,128.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,26.0,0.0,128.0,209.9375,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,26.0,0.0,14.695899963378906,14.695899963378906,134.31312561035156,14.695899963378906,14.695899963378906,134.31312561035156,192,49.0,11.5,-0.8932403326034546
5,18851062.0,776766.0,1.600000023841858,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,24.0,0.0,128.0,209.7375030517578,0.0,0.024303851649165154,22.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,14.695899963378906,133.7435302734375,14.695899963378906,14.695899963378906,133.7435302734375,192,49.0,11.25,-0.8957080841064453
6,18851462.0,776766.0,2.0,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,24.0,0.0,128.0,209.39999389648438,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,14.695899963378906,134.31312561035156,14.695899963378906,14.695899963378906,134.31312561035156,192,50.0,11.5,-0.8932403326034546
7,18851862.0,776766.0,2.4000000953674316,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,151.65150451660156,0.0,26.0,26.0,30.0,23.0,0.0,128.0,212.2624969482422,0.0,0.024303851649165154,22.0,0.0,151.65150451660156,0.0,23.0,0.0,14.695899963378906,14.695899963378906,133.7435302734375,14.695899963378906,14.695899963378906,133.7435302734375,192,53.5,11.375,-0.8957080841064453
8,18852262.0,776766.0,2.799999952316284,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,23.0,0.0,128.0,210.9875030517578,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,23.0,0.0,14.695899963378906,14.695899963378906,134.31312561035156,14.695899963378906,14.695899963378906,134.31312561035156,192,55.5,11.875,-0.8932403326034546
9,18852662.0,776766.0,3.200000047683716,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,151.65150451660156,0.0,26.0,26.0,30.0,24.0,0.0,128.0,210.9375,0.0,0.026567166671156883,22.0,0.0,151.65150451660156,0.0,24.0,0.0,14.695899963378906,14.695899963378906,134.31312561035156,14.695899963378906,14.695899963378906,134.31312561035156,192,51.5,11.125,-0.8932403326034546
10,18853062.0,776766.0,3.5999999046325684,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,151.65150451660156,0.0,26.0,26.0,30.0,24.0,0.0,128.0,210.9375,0.0,0.026567166671156883,22.0,0.0,151.65150451660156,0.0,24.0,0.0,14.695899963378906,14.695899963378906,134.31312561035156,14.695899963378906,14.695899963378906,134.31312561035156,192,51.5,11.125,-0.8932403326034546
11,18853462.0,776766.0,4.0,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,25.0,0.0,128.0,210.8000030517578,0.0,0.024303851649165154,22.0,0.0,150.87379455566406,0.0,25.0,0.0,14.695899963378906,14.695899963378906,133.7435302734375,14.695899963378906,14.695899963378906,133.7435302734375,192,51.5,11.25,-0.8957080841064453
12,18853862.0,776766.0,4.400000095367432,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,25.0,0.0,128.0,210.5500030517578,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,25.0,0.0,14.695899963378906,14.695899963378906,134.31312561035156,14.695899963378906,14.695899963378906,134.31312561035156,192,51.0,11.375,-0.8932403326034546
13,18854262.0,776766.0,4.800000190734863,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,151.65150451660156,0.0,26.0,26.0,30.0,25.0,0.0,128.0,210.85000610351562,0.0,0.024303851649165154,22.0,0.0,151.65150451660156,0.0,25.0,0.0,14.695899963378906,14.695899963378906,133.7435302734375,14.695899963378906,14.695899963378906,133.7435302734375,192,51.5,11.375,-0.8957080841064453
14,18854662.0,776766.0,5.199999809265137,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,24.0,0.0,128.0,210.6125030517578,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,14.695899963378906,134.31312561035156,14.695899963378906,14.695899963378906,134.31312561035156,192,51.5,11.25,-0.8932403326034546
15,18855062.0,776766.0,5.599999904632568,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,23.0,0.0,128.0,210.3249969482422,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,23.0,0.0,14.695899963378906,38.619346618652344,134.31312561035156,14.695899963378906,38.619346618652344,134.31312561035156,192,51.5,11.125,-0.8932403326034546
16,18855462.0,776766.0,6.0,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,23.0,0.0,128.0,210.8249969482422,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,23.0,0.0,14.695899963378906,14.695899963378906,134.31312561035156,14.695899963378906,14.695899963378906,134.31312561035156,192,52.0,11.25,-0.8932403326034546
17,18855862.0,776766.0,6.400000095367432,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,24.0,0.0,128.0,210.53750610351562,0.0,0.024303851649165154,22.0,0.0,150.87379455566406,0.0,24.0,0.0,19.457805633544922,14.695899963378906,133.7435302734375,19.457805633544922,14.695899963378906,133.7435302734375,192,52.0,11.25,-0.8957080841064453
18,18856262.0,776766.0,6.800000190734863,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,25.0,0.0,128.0,210.83749389648438,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,25.0,0.0,14.695899963378906,14.695899963378906,110.38967895507812,14.695899963378906,14.695899963378906,110.38967895507812,192,53.5,11.625,-0.8932403326034546
19,18856662.0,776766.0,7.199999809265137,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,26.0,0.0,128.0,210.8000030517578,0.0,0.024303851649165154,22.0,0.0,150.87379455566406,0.0,26.0,0.0,14.695899963378906,14.695899963378906,133.7435302734375,14.695899963378906,14.695899963378906,133.7435302734375,192,55.5,12.125,-0.8957080841064453
20,18857062.0,776766.0,7.599999904632568,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,24.0,0.0,128.0,210.47500610351562,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,14.695899963378906,134.31312561035156,14.695899963378906,14.695899963378906,134.31312561035156,192,51.0,11.125,-0.8932403326034546
21,18857462.0,776766.0,8.0,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,24.0,0.0,128.0,210.8125,0.0,0.024303851649165154,22.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,14.695899963378906,109.93399810791016,14.695899963378906,14.695899963378906,109.93399810791016,192,50.0,11.125,-0.8957080841064453
22,18857862.0,776766.0,8.399999618530273,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,23.0,0.0,128.0,210.5749969482422,0.0,0.024303851649165154,22.0,0.0,150.87379455566406,0.0,23.0,0.0,14.695899963378906,14.695899963378906,133.7435302734375,14.695899963378906,14.695899963378906,133.7435302734375,192,50.5,11.125,-0.8957080841064453
23,18858262.0,776766.0,8.800000190734863,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,23.0,0.0,128.0,210.2624969482422,0.0,0.024303851649165154,22.0,0.0,150.87379455566406,0.0,23.0,0.0,14.695899963378906,14.695899963378906,133.7435302734375,14.695899963378906,14.695899963378906,133.7435302734375,192,49.0,10.875,-0.8957080841064453
24,18858662.0,776766.0,9.199999809265137,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,25.0,0.0,128.0,210.7624969482422,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,25.0,0.0,14.695899963378906,14.695899963378906,110.38967895507812,14.695899963378906,14.695899963378906,110.38967895507812,192,50.0,11.125,-0.8932403326034546
25,18859062.0,776766.0,9.600000381469727,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,151.65150451660156,0.0,26.0,26.0,30.0,25.0,0.0,128.0,210.53750610351562,0.0,0.024303851649165154,22.0,0.0,151.65150451660156,0.0,25.0,0.0,14.695899963378906,14.695899963378906,109.93399810791016,14.695899963378906,14.695899963378906,109.93399810791016,192,48.0,11.25,-0.8957080841064453
26,18859462.0,776766.0,10.0,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,151.65150451660156,0.0,26.0,26.0,30.0,25.0,0.0,128.0,210.53750610351562,0.0,0.024303851649165154,22.0,0.0,151.65150451660156,0.0,25.0,0.0,14.695899963378906,14.695899963378906,109.93399810791016,14.695899963378906,14.695899963378906,109.93399810791016,192,48.0,11.25,-0.8957080841064453
27,18859862.0,776766.0,10.399999618530273,585.0,635.0,0.0,7433.00830078125,0.0,0.4714285731315613,0.7079896330833435,22.0,0.0,210.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,25.0,0.0,128.0,210.8000030517578,0.0,0.024303851649165154,22.0,0.0,150.87379455566406,0.0,25.0,0.0,14.695899963378906,14.695899963378906,109.93399810791016,14.695899963378906,14.695899963378906,109.93399810791016,192,50.5,11.375,-0.8957080841064453
28,18860262.0,776766.0,10.800000190734863,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,0.0,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,24.0,0.0,128.0,210.6374969482422,0.0,0.026567166671156883,22.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,38.619346618652344,110.38967895507812,14.695899963378906,38.619346618652344,110.38967895507812,192,45.5,10.375,-0.8932403326034546
29,18860662.0,776766.0,11.199999809265137,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,428.4750061035156,1.6275663375854492,150.87379455566406,0.0,26.0,26.0,30.0,23.0,0.0,128.0,209.53750610351562,0.0,0.026567166671156883,22.0,428.4750061035156,150.87379455566406,0.0,23.0,0.0,14.695899963378906,14.695899963378906,110.38967895507812,14.695899963378906,14.695899963378906,110.38967895507812,192,32.0,528.25,-0.8932403326034546
30,18861062.0,776766.0,11.600000381469727,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,615.625,1.6276830434799194,150.87379455566406,0.0,26.0,26.0,30.0,23.0,0.0,128.0,211.0500030517578,0.0,0.026567166671156883,22.0,615.625,150.87379455566406,0.0,23.0,0.0,14.695899963378906,684.5523681640625,325.70068359375,14.695899963378906,684.5523681640625,325.70068359375,192,18.5,575.5,-0.8932403326034546
31,18861462.0,776766.0,12.0,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,625.4750366210938,1.6278035640716553,150.87379455566406,0.0,26.0,26.0,30.0,23.0,0.0,128.0,210.91250610351562,0.0,0.026567166671156883,22.0,625.4750366210938,150.87379455566406,0.0,23.0,0.0,14.695899963378906,1641.490234375,325.70068359375,14.695899963378906,1641.490234375,325.70068359375,192,1.0,583.25,-0.8932403326034546
32,18861862.0,776766.0,12.399999618530273,585.0,635.0,0.0,7433.00830078125,0.0,0.4736842215061188,0.7079896330833435,22.0,0.0,209.0,0.0,630.4000244140625,1.627923607826233,150.87379455566406,0.0,26.0,26.0,30.0,23.0,0.0,128.0,210.71249389648438,0.0,0.026567166671156883,22.0,630.4000244140625,150.87379455566406,0.0,23.0,0.0,14.695899963378906,2287.423095703125,349.6241149902344,14.695899963378906,2287.423095703125,349.6241149902344,192,-10.0,586.375,-0.8932403326034546
