frameNumber,"TIME, ms","TDEP, 0.1 in","TENS_SL, lbf","DEPT_SL, 0.1 in"
120,16796260.0,852606.0,2205.0,852606.0
121,16797260.0,852606.0,2184.0,852606.0
122,16798260.0,852607.0,2158.0,852607.0
123,16799260.0,852607.0,2140.0,852607.0
124,16800260.0,852607.0,2144.0,852607.0
125,16801260.0,852607.0,2161.0,852607.0
126,16802260.0,852607.0,2179.0,852607.0
127,16803260.0,852607.0,2204.0,852607.0
128,16804260.0,852607.0,2208.0,852607.0
129,16805260.0,852607.0,2181.0,852607.0
130,16806260.0,852607.0,2157.0,852607.0
131,16807260.0,852607.0,2162.0,852607.0
132,16808260.0,852607.0,2153.0,852607.0
133,16809260.0,852607.0,2171.0,852607.0
134,16810260.0,852607.0,2183.0,852607.0
135,16811260.0,852607.0,2181.0,852607.0
136,16812260.0,852607.0,2168.0,852607.0
137,16813260.0,852607.0,2172.0,852607.0
138,16814260.0,852607.0,2168.0,852607.0
139,16815260.0,852607.0,2159.0,852607.0
140,16816260.0,852607.0,2163.0,852607.0
141,16817260.0,852607.0,2188.0,852607.0
142,16818260.0,852607.0,2205.0,852607.0
143,16819260.0,852607.0,2213.0,852607.0
144,16820260.0,852607.0,2201.0,852607.0
145,16821260.0,852607.0,2172.0,852607.0
146,16822260.0,852607.0,2143.0,852607.0
147,16823260.0,852607.0,2121.0,852607.0
148,16824260.0,852607.0,2107.0,852607.0
149,16825260.0,852607.0,2126.0,852607.0
150,16826260.0,852607.0,2178.0,852607.0
151,16827260.0,852607.0,2217.0,852607.0
152,16828260.0,852607.0,2224.0,852607.0
153,16829260.0,852607.0,2223.0,852607.0
154,16830260.0,852607.0,2183.0,852607.0
155,16831260.0,852607.0,2163.0,852607.0
156,16832260.0,852607.0,2144.0,852607.0
157,16833260.0,852607.0,2141.0,852607.0
158,16834260.0,852607.0,2144.0,852607.0
159,16835260.0,852607.0,2136.0,852607.0
160,16836260.0,852607.0,2132.0,852607.0
161,16837260.0,852607.0,2141.0,852607.0
162,16838260.0,852607.0,2150.0,852607.0
163,16839260.0,852607.0,2160.0,852607.0
164,16840260.0,852607.0,2193.0,852607.0
165,16841260.0,852607.0,2180.0,852607.0
166,16842260.0,852607.0,2196.0,852607.0
167,16843260.0,852607.0,2193.0,852607.0
168,16844260.0,852607.0,2171.0,852607.0
169,16845260.0,852607.0,2142.0,852607.0
170,16846260.0,852607.0,2116.0,852607.0
171,16847260.0,852607.0,2117.0,852607.0
172,16848260.0,852607.0,2119.0,852607.0
173,16849260.0,852607.0,2160.0,852607.0
174,16850260.0,852607.0,2198.0,852607.0
175,16851260.0,852607.0,2205.0,852607.0
176,16852260.0,852607.0,2213.0,852607.0
177,16853260.0,852607.0,2195.0,852607.0
178,16854260.0,852607.0,2187.0,852607.0
179,16855260.0,852607.0,2168.0,852607.0
180,16856260.0,852607.0,2166.0,852607.0
181,16857260.0,852607.0,2175.0,852607.0
182,16858260.0,852607.0,2171.0,852607.0
183,16859260.0,852607.0,2162.0,852607.0
184,16860260.0,852607.0,2176.0,852607.0
185,16861260.0,852607.0,2160.0,852607.0
186,16862260.0,852607.0,2134.0,852607.0
187,16863260.0,852607.0,2123.0,852607.0
188,16864260.0,852607.0,2139.0,852607.0
189,16865260.0,852607.0,2170.0,852607.0
190,16866260.0,852607.0,2210.0,852607.0
191,16867260.0,852607.0,2228.0,852607.0
192,16868260.0,852607.0,2198.0,852607.0
193,16869260.0,852607.0,2194.0,852607.0
194,16870260.0,852607.0,2161.0,852607.0
195,16871260.0,852607.0,2139.0,852607.0
196,16872260.0,852607.0,2134.0,852607.0
